,hash,last_modified,bytes,path,content_type,file_ext,isNII,subject,session,modality,task,MB
0,d41d8cd98f00b204e9800998ecf8427e,2021-05-11T19:40:53.038540,0,v3.0/,application/octet-stream,,,,,,,0.0
1,0224bdb99620d7f5b1ff6d8a6006375b,2022-05-17T07:07:20.509880,3309,v3.0/README,application/octet-stream,README,,,,README,,0.0031557083129882812
2,9ffb1223c67185451699540090badf83,2022-05-17T07:07:21.411310,3214,v3.0/README.md,text/markdown,md,,,,README,,0.0030651092529296875
3,04e5ca57cf6d63c6f1c51f0195385377,2022-05-17T07:07:22.304730,74,v3.0/acq-0_dir-ap_epi.json,application/json,json,,,,doc,,7.05718994140625e-05
4,5667391fa60b2544af699f292d1ae0e5,2022-05-17T07:07:23.288520,73,v3.0/acq-0_dir-pa_epi.json,application/json,json,,,,doc,,6.961822509765625e-05
5,04e5ca57cf6d63c6f1c51f0195385377,2022-05-17T07:07:24.199080,74,v3.0/acq-1_dir-ap_epi.json,application/json,json,,,,doc,,7.05718994140625e-05
6,5667391fa60b2544af699f292d1ae0e5,2022-05-17T07:07:24.975970,73,v3.0/acq-1_dir-pa_epi.json,application/json,json,,,,doc,,6.961822509765625e-05
7,04e5ca57cf6d63c6f1c51f0195385377,2022-05-17T07:07:25.862890,74,v3.0/acq-mb3_dir-ap_epi.json,application/json,json,,,,doc,,7.05718994140625e-05
8,5667391fa60b2544af699f292d1ae0e5,2022-05-17T07:07:26.679620,73,v3.0/acq-mb3_dir-pa_epi.json,application/json,json,,,,doc,,6.961822509765625e-05
9,04e5ca57cf6d63c6f1c51f0195385377,2022-05-17T07:07:27.468090,74,v3.0/acq-mb6_dir-ap_epi.json,application/json,json,,,,doc,,7.05718994140625e-05
10,5667391fa60b2544af699f292d1ae0e5,2022-05-17T07:07:28.368900,73,v3.0/acq-mb6_dir-pa_epi.json,application/json,json,,,,doc,,6.961822509765625e-05
11,31a0f1a3181df600d3d5d71627f9fa7b,2022-05-17T07:07:29.324360,2020,v3.0/dataset_description.json,application/json,json,,,,doc,,0.001926422119140625
12,04e5ca57cf6d63c6f1c51f0195385377,2022-05-17T07:07:30.164360,74,v3.0/dir-ap_epi.json,application/json,json,,,,doc,,7.05718994140625e-05
13,5667391fa60b2544af699f292d1ae0e5,2022-05-17T07:07:30.943260,73,v3.0/dir-pa_epi.json,application/json,json,,,,doc,,6.961822509765625e-05
14,71f9cb1f20eeb68d465e18758d9facf4,2022-05-17T07:07:31.780430,195,v3.0/dwi.json,application/json,json,,,,doc,,0.00018596649169921875
15,da50caa7836106dd2694f527cde44778,2022-05-17T07:07:32.645280,262,v3.0/participants.tsv,text/tab-separated-values,tsv,,participants.tsv,,doc,,0.0002498626708984375
16,9c1a9277fe937d6644c85cbd4961380a,2022-05-17T07:07:33.571000,43079009,v3.0/sub-01/ses-00/anat/sub-01_ses-00_FLAIR.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,FLAIR,,41.08334445953369
17,859fd8d553690e6fb005d9342581ec67,2022-05-17T07:07:39.633340,9863802,v3.0/sub-01/ses-00/anat/sub-01_ses-00_T1w.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,T1w,,9.406854629516602
18,371fc143bf73dedd1b7d28fef87570a1,2022-05-17T07:07:40.480910,13059203,v3.0/sub-01/ses-00/anat/sub-01_ses-00_acq-spc_T2w.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,T2w,,12.45422649383545
19,ad0ba3ad782af35e62531f9eed2d7655,2022-05-17T07:07:41.316530,12525342,v3.0/sub-01/ses-00/anat/sub-01_ses-00_acq-tse_T2w.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,T2w,,11.945096969604492
20,082b7d5d344a2684a91875872f0fba56,2022-05-17T07:07:42.201230,108,v3.0/sub-01/ses-00/dwi/sub-01_ses-00_dwi.bval,application/octet-stream,bval,,sub-01,ses-00,dwi,,0.000102996826171875
21,8039707bb0cf569c3268beecb53c1c2d,2022-05-17T07:07:43.003880,1184,v3.0/sub-01/ses-00/dwi/sub-01_ses-00_dwi.bvec,application/octet-stream,bvec,,sub-01,ses-00,dwi,,0.001129150390625
22,0c9f9e523d91e3a10229474ba2627380,2022-05-17T07:07:43.804430,11769600,v3.0/sub-01/ses-00/dwi/sub-01_ses-00_dwi.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,dwi,,11.224365234375
23,04e5ca57cf6d63c6f1c51f0195385377,2022-05-17T07:07:44.648330,74,v3.0/sub-01/ses-00/fmap/sub-01_ses-00_dir-ap_epi.json,application/json,json,,,,doc,,7.05718994140625e-05
24,28eb6819ca4b226ab99e1bbee47204e5,2022-05-17T07:07:45.516910,1828863,v3.0/sub-01/ses-00/fmap/sub-01_ses-00_dir-ap_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,fmap,,1.7441396713256836
25,5667391fa60b2544af699f292d1ae0e5,2022-05-17T07:07:46.337370,73,v3.0/sub-01/ses-00/fmap/sub-01_ses-00_dir-pa_epi.json,application/json,json,,,,doc,,6.961822509765625e-05
26,2a0f76d9f93e0dc232d92f71313dbf66,2022-05-17T07:07:47.142360,1816796,v3.0/sub-01/ses-00/fmap/sub-01_ses-00_dir-pa_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,fmap,,1.7326316833496094
27,85ce40042b1aa954c277b10b8c98e1be,2022-05-17T07:07:47.946170,454867499,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,bold,ArchiSocial,433.7954511642456
28,ffd4f3683a5dec23072516e383b51d9d,2022-05-17T07:07:49.896260,2541,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-01,ses-00,events,ArchiSocial,0.0024232864379882812
29,91af7684747da210da112db97c79bd76,2022-05-17T07:07:50.764830,1812495,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,sbref,ArchiSocial,1.728529930114746
30,087fb67572c57b66f3e7fd8d42b4fcc8,2022-05-17T07:07:51.598800,451763076,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,bold,ArchiSocial,430.83484268188477
31,ffd4f3683a5dec23072516e383b51d9d,2022-05-17T07:07:53.489960,2541,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-01,ses-00,events,ArchiSocial,0.0024232864379882812
32,3b4f952a309fb066d9fd3fb811b55d78,2022-05-17T07:07:54.309580,1801882,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,sbref,ArchiSocial,1.7184085845947266
33,04c03cfdec689270f885515c1b90cf41,2022-05-17T07:07:55.094310,437770803,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,bold,ArchiSpatial,417.49077129364014
34,eabd8ff555368f2c16056fd404ad8847,2022-05-17T07:07:57.002430,1037,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-01,ses-00,events,ArchiSpatial,0.0009889602661132812
35,1e010c2c72006719c91d60c94e092760,2022-05-17T07:07:57.789470,1812477,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,sbref,ArchiSpatial,1.7285127639770508
36,5285f323b2d18dc646625684302014cf,2022-05-17T07:07:58.669740,434679457,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,bold,ArchiSpatial,414.54263401031494
37,eabd8ff555368f2c16056fd404ad8847,2022-05-17T07:08:00.487160,1037,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-01,ses-00,events,ArchiSpatial,0.0009889602661132812
38,a1bd7936548f6b0a5088cfa4424a602f,2022-05-17T07:08:01.325690,1803006,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,sbref,ArchiSpatial,1.7194805145263672
39,d11d2b28956cfa475c3fd4415f47697c,2022-05-17T07:08:02.141570,270723130,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,bold,ArchiStandard,258.18169593811035
40,49d1a6b510e0a8cfde59f394ab686854,2022-05-17T07:08:03.457140,2087,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-01,ses-00,events,ArchiStandard,0.0019903182983398438
41,4ad5210afb1e8385f4aa49115299c978,2022-05-17T07:08:04.262690,1812738,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,sbref,ArchiStandard,1.7287616729736328
42,6addc69afb6f1776b8de89b17d0c797c,2022-05-17T07:08:05.110930,269272630,v3.0/sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-01,ses-00,bold,ArchiStandard,256.7983913421631
